race_date,track,keirin_cd,target_high_payout,prediction
20240515,31,61,0,0.499317643274292
20240515,31,61,1,0.3284816357380207
20240515,31,61,0,0.5591414715398498
20240515,31,61,0,0.2681426293870126
20240515,31,61,0,0.5957352526229676
20240515,40,74,0,0.5651039446149217
20240515,40,74,0,0.10638598769040589
20240515,40,74,0,0.5482830188659732
20240515,40,74,0,0.41361462122115084
20240515,40,74,0,0.36733472439462383
20240515,40,74,1,0.4812907433265477
20240515,40,74,1,0.5977124815322189
20240515,40,74,0,0.5449589687438485
20240515,40,74,0,0.4921868567364048
20240516,5,11,1,0.7239195858727568
20240516,5,11,1,0.45608411044729386
20240516,5,11,1,0.5479939265159468
20240516,5,11,1,0.7723040866770632
20240516,5,11,1,0.7046817455935694
20240516,5,11,1,0.5402105228263011
20240516,5,11,0,0.47255265183894346
20240516,5,11,0,0.5099560879613809
20240516,5,11,1,0.36803222401672214
20240516,5,11,0,0.5553211854659977
20240516,5,11,0,0.48471637125219025
20240516,5,11,1,0.7094699856374863
20240516,14,25,0,0.4613776192093089
20240516,14,25,0,0.49348232417975674
20240516,14,25,0,0.3969497929199358
20240516,14,25,0,0.46075494155509805
20240516,14,25,0,0.22817503216914123
20240516,14,25,1,0.5889303022904273
20240516,14,25,0,0.29717222932752513
20240516,14,25,0,0.6035329802870719
20240516,14,25,0,0.3992617194060512
20240516,14,25,1,0.2588467831679505
20240516,14,25,0,0.40072139249502914
20240516,14,25,0,0.5501835172881246
20240516,12,48,0,0.34533758718270036
20240516,12,48,0,0.3387352161093669
20240516,12,48,0,0.3809822904103029
20240516,12,48,0,0.37312307482990426
20240516,12,48,1,0.4334525806737168
20240516,12,48,0,0.2946205365447499
20240516,12,48,1,0.35241080670943675
20240516,12,48,0,0.4476260655395039
20240516,12,48,0,0.511011244495291
20240516,11,55,0,0.37626300559671144
20240516,11,55,0,0.4819275351449218
20240516,11,55,0,0.5229781886617786
20240516,11,55,1,0.4630275379949274
20240516,11,55,0,0.37809040710490427
20240516,11,55,0,0.403783004128399
20240516,11,55,1,0.4360043375924324
20240516,11,55,1,0.516243891454886
20240516,11,55,0,0.39059134505578325
20240516,11,55,0,0.49452444810320545
20240516,11,55,1,0.4467889975350456
20240516,11,55,0,0.5716030112936054
20240516,40,74,0,0.43214890128735683
20240516,40,74,1,0.5553106663412077
20240516,40,74,1,0.3960041242558833
20240516,40,74,0,0.3278966893369072
20240516,40,74,0,0.5672617633595921
20240516,40,74,1,0.4234029707804717
20240516,40,74,0,0.49745977710591915
20240516,40,74,1,0.3916334653825776
20240516,40,74,1,0.46132145177110534
20240516,6,86,0,0.4311139922045785
20240516,6,86,0,0.2852276127064292
20240516,6,86,0,0.18902021215835096
20240516,6,86,0,0.16245912673653495
20240516,6,86,0,0.15831376327140423
20240516,6,86,0,0.18172905016743376
20240516,6,86,0,0.616735035657207
20240517,5,11,0,0.629950677595554
20240517,5,11,0,0.47037685789144146
20240517,5,11,0,0.6057153892662402
20240517,5,11,0,0.6689074247508399
20240517,5,11,1,0.6180787668869046
20240517,5,11,0,0.5646201944907604
20240517,5,11,0,0.6321463418868228
20240517,5,11,0,0.6737508311181168
20240517,5,11,0,0.5060706865751053
20240517,5,11,0,0.43152196373104207
20240517,5,11,0,0.38417893171908524
20240517,5,11,0,0.383960638572961
20240517,21,43,1,0.6169928073716221
20240517,21,43,1,0.23980697035899598
20240517,21,43,0,0.28049900594274246
20240517,21,43,0,0.19658561402429753
20240517,21,43,0,0.14933901827075352
20240517,21,43,0,0.3672555850512791
20240517,21,43,0,0.18317376746578604
20240517,11,55,0,0.4084315662396314
20240517,11,55,0,0.6135935407583248
20240517,11,55,1,0.5758851628156598
20240517,11,55,0,0.41680942465789594
20240517,11,55,1,0.2582476700359542
20240517,11,55,0,0.4785669191352394
20240517,11,55,0,0.4403277224045638
20240517,11,55,0,0.5364033380092091
20240517,11,55,0,0.5794246911463339
20240517,11,55,0,0.5083051437139214
20240517,11,55,0,0.490872959050958
20240517,11,55,0,0.49805921272132214
20240517,1,83,0,0.6187733926102084
20240517,1,83,0,0.5069925650685141
20240517,1,83,0,0.15916433738537122
20240517,1,83,0,0.19724657700905454
20240517,1,83,0,0.21346892225592373
20240517,1,83,0,0.22179777779909982
20240517,1,83,0,0.2611584378052587
20240517,6,86,1,0.5229925462560991
20240517,6,86,0,0.4425273804329524
20240517,6,86,0,0.24277162465111013
20240517,6,86,0,0.20830040850759438
20240517,6,86,0,0.39441646704340105
20240517,6,86,0,0.21810408025103403
20240517,6,86,0,0.2024529532975744
20240518,5,11,1,0.5342359487863321
20240518,5,11,0,0.6370228029516142
20240518,5,11,0,0.7195587553815461
20240518,5,11,1,0.7903175282780157
20240518,5,11,0,0.5031359122096262
20240518,5,11,0,0.639810115716492
20240518,5,11,1,0.7253113999064661
20240518,5,11,0,0.606852423371709
20240518,5,11,1,0.5960936829342109
20240518,5,11,1,0.38512427777257796
20240518,5,11,0,0.6618636750776243
20240518,5,11,1,0.6551093675238031
20240518,20,36,0,0.2918096254326394
20240518,20,36,0,0.3606196853973946
20240518,20,36,1,0.490678283563834
20240518,20,36,0,0.3435971916918061
20240518,20,36,1,0.6626005558944186
20240518,20,36,0,0.5740922897403196
20240518,20,36,0,0.5634286199485063
20240518,20,36,0,0.49714093574810514
20240518,20,36,0,0.4048750416412745
20240518,20,36,1,0.26682474834386477
20240518,20,36,0,0.4958562756575268
20240518,20,36,1,0.4457542450453568
20240518,21,43,0,0.3291470650493014
20240518,21,43,0,0.501017157580205
20240518,21,43,0,0.418481994935934
20240518,21,43,1,0.37317985628043693
20240518,21,43,1,0.2662160320073169
20240518,21,43,0,0.24391724742095705
20240518,21,43,0,0.18638373132839461
20240518,1,83,0,0.5299787744201928
20240518,1,83,0,0.3583793256335505
20240518,1,83,0,0.5634702511078382
20240518,1,83,0,0.3107800436753135
20240518,1,83,0,0.3450219896123903
20240518,1,83,0,0.17740221336744785
20240518,1,83,0,0.14918696578105908
20240518,6,86,0,0.41087596529056936
20240518,6,86,0,0.34109735194108215
20240518,6,86,1,0.43149809649690085
20240518,6,86,0,0.49181922641152004
20240518,6,86,0,0.2227308425151556
20240518,6,86,0,0.3471562202499395
20240518,6,86,1,0.2817776694382699
20240519,5,11,0,0.6982667600847559
20240519,5,11,0,0.7500626768710159
20240519,5,11,0,0.711754150914007
20240519,5,11,1,0.7524885856619167
20240519,5,11,0,0.7475051915456342
20240519,5,11,1,0.5723823753888724
20240519,5,11,0,0.45839579323699403
20240519,5,11,0,0.6425412094542389
20240519,5,11,0,0.679687533077757
20240519,5,11,0,0.5893354614114318
20240519,5,11,0,0.7535926942812561
20240519,5,11,1,0.4503449297476996
20240519,20,36,1,0.3379779094125908
20240519,20,36,0,0.2446774822212513
20240519,20,36,0,0.37166436179765494
20240519,20,36,0,0.5389453533229903
20240519,20,36,0,0.4667486992633198
20240519,20,36,0,0.3893613560838985
20240519,20,36,0,0.5022280298137368
20240519,20,36,0,0.566789861374464
20240519,20,36,0,0.4579774495821913
20240519,20,36,0,0.556172396724318
20240519,20,36,1,0.5505884991281653
20240519,20,36,0,0.42981594282874636
20240519,21,43,0,0.22994320683323352
20240519,21,43,0,0.31388528366758717
20240519,21,43,0,0.20778512416815786
20240519,21,43,0,0.22131967243418685
20240519,21,43,0,0.5258933519594757
20240519,21,43,0,0.2810370372405352
20240519,21,43,0,0.41039150260297985
20240519,13,44,0,0.29382175824264706
20240519,13,44,0,0.3362785114862079
20240519,13,44,1,0.3332496899236816
20240519,13,44,0,0.17639281050600977
20240519,13,44,0,0.2559367824014168
20240519,13,44,1,0.5283260822753403
20240519,13,44,0,0.35085108984817326
20240519,13,44,0,0.4567331933957266
20240519,13,44,1,0.30488562108194667
20240519,13,44,0,0.3213821155862483
20240519,13,44,0,0.23596751182652428
20240519,13,44,1,0.5231968851020051
20240519,31,61,0,0.3568771906021683
20240519,31,61,1,0.34440760183620595
20240519,31,61,0,0.14428386308403124
20240519,31,61,1,0.29399033064957214
20240519,31,61,1,0.5318489286821253
20240519,31,61,0,0.45715445906588986
20240519,31,61,0,0.44936902250066224
20240519,31,61,0,0.5073125231981643
20240519,31,61,0,0.5731089070162357
20240519,31,61,0,0.4193508648142533
20240519,31,61,0,0.33213221829998724
20240519,31,61,1,0.5182209889805388
20240519,1,83,0,0.5380809459461321
20240519,1,83,0,0.3922280832455274
20240519,1,83,0,0.4587659247429424
20240519,1,83,0,0.4736728685632452
20240519,1,83,0,0.46859369605142365
20240519,1,83,0,0.3488405367417103
20240519,1,83,0,0.3996563307222359
20240519,29,84,0,0.36943999841725184
20240519,29,84,0,0.19659463332196347
20240519,29,84,0,0.3896848461530889
20240519,29,84,0,0.1225536003187184
20240519,29,84,0,0.20159199298507993
20240519,29,84,0,0.33959434810702044
20240519,29,84,0,0.22900762260097263
20240520,37,12,0,0.4323245625202217
20240520,37,12,0,0.21323843802534803
20240520,37,12,0,0.31641406557681623
20240520,37,12,0,0.37033836261762504
20240520,37,12,0,0.43766028625219755
20240520,37,12,0,0.4749929301781358
20240520,37,12,0,0.46496352777107364
20240520,37,12,0,0.1976152571158868
20240520,37,12,0,0.6559113527269431
20240520,34,26,0,0.35963006502105055
20240520,34,26,0,0.4452175432497784
20240520,34,26,0,0.3404630725008077
20240520,34,26,0,0.13862091558118805
20240520,34,26,1,0.6385467962291361
20240520,34,26,1,0.311056959361336
20240520,34,26,0,0.11248281894783355
20240520,34,26,0,0.5583602901112976
20240520,34,26,1,0.5653072939416784
20240520,34,26,1,0.4541464821783777
20240520,34,26,0,0.5599521956758926
20240520,34,26,1,0.46737729263106925
20240520,20,36,1,0.4094391582916324
20240520,20,36,1,0.5230021459738381
20240520,20,36,0,0.3298266880232721
20240520,20,36,0,0.2865798431327156
20240520,20,36,0,0.35835382395151677
20240520,20,36,0,0.3642804402869436
20240520,20,36,0,0.36039412328189746
20240520,20,36,1,0.694174149128871
20240520,20,36,1,0.6195323737466043
20240520,20,36,0,0.587536320047462
20240520,20,36,0,0.6005321376575149
20240520,20,36,1,0.5257742258662638
20240520,13,44,0,0.24938993474134977
20240520,13,44,0,0.27452086010058024
20240520,13,44,0,0.16877985399177464
20240520,13,44,0,0.18899378133258848
20240520,13,44,0,0.215449960745646
20240520,13,44,0,0.49370920795393647
20240520,13,44,0,0.47766678588250266
20240520,13,44,0,0.49311423162888257
20240520,13,44,1,0.5467572440723303
20240520,13,44,0,0.4504601234280076
20240520,13,44,1,0.4614690107742567
20240520,13,44,0,0.4420500335130491
20240520,15,53,0,0.4675903403620911
20240520,15,53,1,0.5698324917030371
20240520,15,53,1,0.17965511885052426
20240520,15,53,0,0.19754803664748358
20240520,15,53,0,0.1975781053163771
20240520,15,53,0,0.13526514514070948
20240520,15,53,0,0.1217759736163159
20240520,15,53,0,0.5069839535394912
20240520,15,53,0,0.33271051282604297
20240520,15,53,0,0.5642281759159504
20240520,15,53,0,0.3846732514944514
20240520,15,53,0,0.567917570232264
20240520,31,61,1,0.3855975531763566
20240520,31,61,1,0.4499433621248811
20240520,31,61,0,0.481959033292457
20240520,31,61,0,0.4603779503771851
20240520,31,61,0,0.21948491352091495
20240520,31,61,0,0.40619718259391946
20240520,31,61,0,0.42752254118309346
20240520,31,61,0,0.45913859320228645
20240520,31,61,0,0.6039276899078345
20240520,31,61,1,0.46866513290508544
20240520,31,61,0,0.5295863931801055
20240520,31,61,1,0.4429036306155697
20240520,39,71,0,0.1341472846111201
20240520,39,71,0,0.26189783166900515
20240520,39,71,1,0.5850857428553285
20240520,39,71,0,0.3353034310590328
20240520,39,71,0,0.393665626279886
20240520,39,71,0,0.4150486051677234
20240520,39,71,0,0.6269841107521751
20240520,39,71,0,0.3804727875576666
20240520,39,71,0,0.6161928131639907
20240520,29,84,0,0.3861774161963754
20240520,29,84,0,0.3196066879593671
20240520,29,84,0,0.3071516541881595
20240520,29,84,1,0.3532646105665721
20240520,29,84,0,0.45637254856918413
20240520,29,84,0,0.36953679949398033
20240520,29,84,0,0.2264142503905857
20240521,37,12,0,0.31437001868383774
20240521,37,12,0,0.25346637723756993
20240521,37,12,0,0.317703646909375
20240521,37,12,0,0.3254631432391982
20240521,37,12,1,0.5358354306169348
20240521,37,12,1,0.4768192576349172
20240521,37,12,0,0.5248618003690417
20240521,37,12,1,0.5404601716480587
20240521,37,12,0,0.5824554293894725
20240521,34,26,0,0.563278707755851
20240521,34,26,0,0.43604171986102286
20240521,34,26,1,0.6186955423483839
20240521,34,26,1,0.5144967034411037
20240521,34,26,0,0.47594573688552694
20240521,34,26,0,0.21042999331063694
20240521,34,26,0,0.16086846397035706
20240521,34,26,1,0.5156867359014891
20240521,34,26,0,0.555540995062499
20240521,34,26,0,0.5082528696973423
20240521,34,26,0,0.5157808171881221
20240521,34,26,0,0.39961209268191594
20240521,13,44,0,0.1810640915416757
20240521,13,44,1,0.27625464212032524
20240521,13,44,0,0.5388380332213106
20240521,13,44,0,0.3312070429331192
20240521,13,44,0,0.5687006742797183
20240521,13,44,0,0.4894194552015438
20240521,13,44,1,0.4771092348979229
20240521,13,44,0,0.5297201425923761
20240521,13,44,0,0.47356846790618135
20240521,13,44,0,0.4803089388940931
20240521,13,44,0,0.4074667011303944
20240521,13,44,0,0.5456434758383103
